Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
31,Trae Young,876,DAL,1,5,2018,Oklahoma,2017-18,Oklahoma,32,32,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,.422,.493,.360,.861,.585,.518,G,FR,trae-young-1
32,Carsen Edwards,874,PHI,2,33,2019,Purdue,2018-19,Purdue,36,36,35.4,7.7,19.5,3.9,9.0,3.8,10.6,5.1,6.1,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,.394,.440,.355,.837,.541,.490,G,JR,carsen-edwards-1
33,Dave Jamerson,874,MIA,1,15,1990,Ohio,1989-90,Ohio,28,,38.3,10.6,23.1,5.9,12.3,4.7,10.8,5.3,6.3,,,6.4,1.8,0.9,0.3,2.3,2.6,31.2,.459,.483,.432,.842,.598,.560,G,SR,dave-jamerson-1
34,T.J. Warren,871,PHO,1,14,2014,NC State,2013-14,NC State,35,35,35.4,9.8,18.6,8.9,15.3,0.9,3.3,4.5,6.5,3.2,3.9,7.1,1.1,1.8,0.6,2.4,2.8,24.9,.525,.580,.267,.690,.574,.548,F,SO,tj-warren-1
35,Stacey King,869,CHI,1,6,1989,Oklahoma,1987-88,Oklahoma,39,38,31.1,8.6,15.9,8.6,15.9,0.0,0.0,5.0,7.4,,,8.5,1.1,0.8,2.6,2.2,2.7,22.3,.543,.544,.000,.675,.573,.543,C,JR,stacey-king-1
36,Alfredrick Hughes,868,SAS,1,14,1985,Loyola Chicago,1984-85,Loyola Chicago,33,33,37.9,11.1,22.9,11.1,22.9,,,4.1,5.9,,,9.5,1.1,1.2,0.1,2.5,2.8,26.3,.484,.484,,.697,.511,.484,F,SR,rick-hughes-1
37,Devin Durrant,866,IND,2,25,1984,Brigham Young,1983-84,Brigham Young,31,,39.5,10.1,17.5,10.1,17.5,,,7.8,9.9,,,5.2,1.4,0.7,0.5,2.9,2.9,27.9,.575,.575,,.788,.629,.575,F,SR,devin-durrant-1
38,Michael Beasley,866,MIA,1,2,2008,Kansas State,2007-08,Kansas State,33,33,31.5,9.3,17.5,8.2,14.6,1.1,2.9,6.5,8.5,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,.532,.562,.379,.774,.610,.563,F,FR,michael-beasley-1
39,Harry Kelly,862,ATL,4,81,1983,Texas Southern,1981-82,Texas Southern,29,,,11.6,22.7,11.6,22.7,,,6.6,9.0,,,11.6,2.0,1.9,0.4,,2.4,29.7,.511,.511,,.731,.552,.511,F,JR,harry-kelly-1
40,Danny Manning,860,LAC,1,1,1988,Kansas,1986-87,Kansas,36,36,34.7,9.6,15.6,9.6,15.5,0.0,0.1,4.6,6.3,,,9.5,1.8,1.2,1.3,2.8,3.2,23.9,.617,.619,.333,.730,.642,.618,F,JR,danny-manning-1
41,R.J. Barrett,860,NYK,1,3,2019,Duke,2018-19,Duke,38,38,35.3,8.4,18.5,6.5,12.2,1.9,6.2,3.9,5.9,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,.454,.529,.308,.665,.532,.506,F,FR,rj-barrett-1
42,Stacey King,859,CHI,1,6,1989,Oklahoma,1988-89,Oklahoma,33,,34.6,9.8,18.7,9.8,18.7,0.0,0.0,6.4,8.9,,,10.1,1.9,1.2,2.3,2.8,2.8,26.0,.524,.524,,.718,.567,.524,C,SR,stacey-king-1
43,Charles Bradley,855,SAC,3,51,1985,South Florida,1982-83,South Florida,32,32,35.7,10.4,22.2,10.4,22.2,,,5.9,7.3,,,6.6,2.0,1.2,0.4,3.4,3.1,26.7,.470,.470,,.804,.521,.470,F,SO,charles-bradley-3
44,Donyell Marshall,855,MIN,1,4,1994,Connecticut,1993-94,Connecticut,34,34,34.0,9.0,17.6,7.8,13.8,1.2,3.9,5.9,7.8,2.9,5.9,8.9,1.6,1.3,3.3,2.9,2.1,25.1,.512,.568,.311,.752,.589,.546,F,JR,donyell-marshall-1
45,Jodie Meeks,854,MIL,2,41,2009,Kentucky,2008-09,Kentucky,36,36,34.4,7.3,15.8,4.1,7.8,3.3,8.0,5.9,6.5,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9,23.7,.463,.521,.406,.902,.629,.566,G,JR,jodie-meeks-1
