Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
4238,Jim Foster,384,SAC,5,102,1984,South Carolina,1980-81,South Carolina,27,26,32.1,5.5,9.5,5.5,9.5,,,3.2,6.4,,,11.0,1.4,0.7,0.2,2.5,3.9,14.2,.580,.580,,.497,.566,.580,F,FR,jim-foster-1
4239,John Celestand,384,LAL,2,30,1999,Villanova,1997-98,Villanova,29,21,34.7,4.7,11.3,3.1,6.4,1.6,5.0,2.2,3.1,,,4.1,5.1,1.7,0.3,3.8,2.1,13.2,.413,.481,.326,.722,.516,.485,G,JR,john-celestand-1
4240,Kevin Rogers,384,NYK,10,218,1981,Saint Peter's,1980-81,Saint Peter's,26,,33.6,6.1,10.8,6.1,10.8,,,2.5,4.5,,,7.0,1.3,0.8,0.8,2.0,3.3,14.8,.568,.568,,.559,.571,.568,C,SR,kevin-rogers-2
4241,Larry Sanders,384,MIL,1,15,2010,VCU,2008-09,VCU,34,34,26.6,4.6,9.0,4.6,9.0,0.0,0.0,2.1,3.8,2.9,5.7,8.6,0.4,0.6,2.7,2.1,3.6,11.3,.510,.510,,.558,.523,.510,F,SO,larry-sanders-1
4242,Lionel Chalmers Jr,384,LAC,2,33,2004,Xavier,2001-02,Xavier,32,32,34.1,3.9,9.3,2.4,5.1,1.5,4.2,2.7,3.8,0.5,2.9,3.4,4.2,1.5,0.1,3.3,2.4,12.0,.421,.479,.351,.719,.542,.500,G,SO,lionel-chalmers-1
4243,Loren Woods,384,MIN,2,46,2001,Arizona,2000-01,Arizona,29,28,30.3,4.6,9.1,4.6,9.0,0.0,0.1,4.0,4.9,1.6,4.9,6.5,2.1,0.7,2.9,2.0,2.2,13.2,.504,.506,.333,.830,.580,.506,C,SR,loren-woods-1
4244,Maurice Taylor,384,LAC,1,14,1997,Michigan,1994-95,Michigan,31,29,26.8,5.2,11.0,5.1,10.8,0.1,0.2,1.9,3.2,2.1,3.0,5.1,1.2,0.5,1.1,2.1,3.3,12.4,.471,.472,.429,.602,.494,.475,F,FR,maurice-taylor-1
4245,Rickie Winslow,384,CHI,2,28,1987,Houston,1986-87,Houston,30,30,34.5,5.3,10.2,5.2,10.0,0.1,0.3,2.1,3.6,,,7.4,2.4,1.5,0.5,2.8,3.3,12.8,.518,.522,.375,.578,.535,.523,F,SR,rickie-winslow-1
4246,Robert Sacre,384,LAL,2,60,2012,Gonzaga,2011-12,Gonzaga,33,33,26.3,3.5,6.9,3.5,6.9,0.0,0.1,4.5,6.0,2.0,4.3,6.3,0.7,0.4,1.4,1.8,2.2,11.6,.511,.515,.000,.761,.595,.511,C,SR,robert-sacre-1
4247,Wally Szczerbiak,384,MIN,1,6,1999,Miami (OH),1996-97,Miami (OH),30,23,30.9,5.0,10.5,3.1,6.5,1.9,4.0,0.9,1.3,,,5.4,2.1,0.7,0.4,1.8,2.7,12.8,.475,.482,.463,.718,.574,.563,F,SO,wally-szczerbiak-1
4248,Willie Burton,384,MIA,1,9,1990,Minnesota,1987-88,Minnesota,28,18,26.8,5.1,9.8,5.0,9.5,0.1,0.4,3.5,4.9,,,5.6,2.0,0.6,0.6,2.4,3.1,13.7,.516,.525,.300,.713,.565,.522,F,SO,willie-burton-1
4249,Alan Henderson,383,ATL,1,16,1995,Indiana,1991-92,Indiana,33,26,23.7,4.6,9.0,4.5,8.9,0.0,0.1,2.4,3.7,,,7.2,0.5,1.0,1.5,1.0,2.5,11.6,.508,.512,.250,.661,.540,.510,F,FR,alan-henderson-1
4250,Alexander Johnson,383,IND,2,45,2006,Florida State,2005-06,Florida State,29,28,24.9,4.4,8.1,4.1,7.1,0.3,1.0,4.1,5.9,2.6,4.9,7.4,0.7,1.1,1.0,2.8,3.2,13.2,.540,.573,.310,.706,.606,.560,C,JR,alexander-johnson-1
4251,Bob Ferry,383,ATL,7,146,1985,Harvard,1982-83,Harvard,26,,,5.8,11.5,5.8,11.5,,,3.1,3.7,,,3.4,2.0,,,,2.2,14.7,.505,.505,,.835,.555,.505,G,SO,bob-ferry-1
4252,Casey Shaw,383,PHI,2,37,1998,Toledo,1997-98,Toledo,27,,30.3,5.1,9.7,5.1,9.6,0.0,0.0,4.0,6.5,,,10.0,1.2,0.6,1.5,,2.7,14.2,.529,.531,.000,.611,.556,.529,C,SR,casey-shaw-1
4253,Cedric Henderson,383,CLE,2,45,1997,Memphis,1993-94,Memphis State,28,28,32.2,5.7,12.3,5.1,9.9,0.6,2.4,1.6,2.7,,,5.1,1.9,1.1,1.0,2.8,2.7,13.7,.465,.513,.269,.600,.504,.491,F,FR,cedric-henderson-2
4254,Grant Gondrezick,383,PHO,4,77,1986,Pepperdine,1983-84,Pepperdine,28,,28.1,6.0,12.1,6.0,12.1,,,1.7,2.3,,,4.4,2.4,1.2,0.2,2.0,2.7,13.7,.496,.496,,.734,.518,.496,G,JR,grant-gondrezick-1
4255,Jalen Brunson,383,DAL,2,33,2018,Villanova,2015-16,Villanova,40,39,24.0,3.2,7.0,1.9,3.8,1.2,3.2,2.1,2.7,0.5,1.3,1.8,2.5,0.7,0.0,1.8,1.8,9.6,.452,.510,.383,.774,.581,.539,G,FR,jalen-brunson-1
4256,Jaye Andrews,383,PHI,7,159,1985,Bucknell,1982-83,Bucknell,28,,31.1,5.9,12.3,5.9,12.3,,,1.8,2.9,,,3.1,1.8,1.2,0.2,,1.4,13.7,.484,.484,,.638,.503,.484,G,SO,jaye-andrews-1
4257,Jonathan Isaac,383,ORL,1,6,2017,Florida State,2016-17,Florida State,32,32,26.2,4.1,8.0,3.1,5.2,1.0,2.8,2.9,3.7,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,.508,.593,.348,.780,.614,.568,F,FR,jonathan-isaac-1
4258,Jordan Farmar,383,LAL,1,26,2006,UCLA,2004-05,UCLA,29,29,34.4,4.1,10.1,3.0,6.6,1.2,3.5,3.8,4.7,0.6,2.9,3.5,5.3,1.4,0.1,3.9,2.7,13.2,.411,.453,.333,.801,.537,.469,G,FR,jordan-farmar-1
4259,Josh Boone,383,NJN,1,23,2006,Connecticut,2004-05,Connecticut,31,31,29.5,4.8,7.8,4.8,7.8,0.0,0.0,2.8,4.2,3.6,4.8,8.4,1.2,0.6,2.9,2.1,2.1,12.4,.609,.609,,.664,.627,.609,C,SO,josh-boone-1
4260,Keith Smart,383,GSW,2,41,1988,Indiana,1987-88,Indiana,29,21,26.0,5.1,9.8,4.8,8.8,0.3,1.0,2.8,3.2,,,3.0,3.1,0.9,0.1,2.3,2.3,13.2,.518,.539,.321,.870,.584,.533,G,SR,keith-smart-1
4261,Michael Ruffin,383,CHI,2,32,1999,Tulsa,1998-99,Tulsa,33,33,32.2,3.5,6.7,3.5,6.6,0.0,0.1,4.5,7.5,,,10.4,1.4,1.8,2.6,2.7,3.0,11.6,.527,.537,.000,.603,.564,.527,F,SR,michael-ruffin-1
4262,Orlando Johnson,383,SAC,2,36,2012,UC Santa Barbara,2007-08,Loyola Marymount,31,30,26.0,4.3,10.4,3.0,6.4,1.3,4.0,2.5,3.9,2.1,2.8,4.9,2.1,0.6,0.4,2.6,2.6,12.4,.412,.470,.320,.642,.504,.474,G,FR,orlando-johnson-1
4263,Rafael Araujo,383,TOR,1,8,2004,Brigham Young,2002-03,Brigham Young,32,32,25.1,4.8,8.7,4.8,8.3,0.1,0.3,2.2,3.4,2.8,6.1,8.9,1.2,1.4,0.5,3.0,3.7,12.0,.558,.569,.273,.642,.581,.563,C,JR,rafael-araujo-1
4264,Solomon Jones III,383,ATL,2,33,2006,South Florida,2005-06,South Florida,29,29,36.4,4.8,9.9,4.8,9.8,0.0,0.1,3.6,4.7,3.2,6.6,9.8,1.3,0.9,3.1,3.5,3.4,13.2,.484,.488,.000,.778,.545,.484,C,SR,solomon-jones-1
4265,Alex Oriakhi,382,PHO,2,57,2013,Missouri,2012-13,Missouri,34,34,25.8,4.1,6.4,4.1,6.4,0.0,0.0,3.1,4.2,3.1,5.3,8.4,0.4,0.6,1.6,1.4,2.3,11.2,.639,.639,,.746,.674,.639,F,SR,alex-oriakhi-1
4266,Bobby Jones Jr,382,MIN,2,37,2006,Washington,2004-05,Washington,34,33,25.4,3.9,7.7,3.0,5.9,0.9,1.8,2.5,3.7,2.5,3.1,5.6,1.7,1.1,0.4,1.3,3.5,11.2,.510,.510,.508,.680,.596,.569,F,JR,bobby-jones-2
4267,Daequan Cook,382,PHI,1,21,2007,Ohio State,2006-07,Ohio State,39,1,19.7,3.6,8.1,2.2,4.8,1.4,3.3,1.2,1.7,0.7,3.6,4.3,1.0,0.7,0.3,1.4,1.7,9.8,.445,.465,.415,.697,.548,.530,G,FR,daequan-cook-1
4268,Ervin Johnson Jr,382,OKC,1,23,1993,New Orleans,1990-91,New Orleans,30,,30.0,5.4,9.4,5.4,9.4,0.0,0.0,1.9,3.6,,,12.2,1.1,0.7,2.5,2.0,3.0,12.7,.572,.572,,.537,.571,.572,C,SO,ervin-johnson-1
4269,Jaren Jackson Jr.,382,MEM,1,4,2018,Michigan State,2017-18,Michigan State,35,34,21.8,3.4,6.6,2.3,3.9,1.1,2.7,3.0,3.8,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,.513,.596,.396,.797,.647,.595,F,FR,jaren-jacksonjr-1
4270,Jason Hart,382,MIL,2,49,2000,Syracuse,1999-00,Syracuse,32,32,33.8,3.9,9.5,2.7,5.9,1.2,3.6,2.9,4.0,0.5,2.5,3.0,6.5,1.8,0.1,3.5,2.4,11.9,.411,.460,.330,.734,.524,.474,G,SR,jason-hart-1
4271,Keith Smart,382,GSW,2,41,1988,Indiana,1986-87,Indiana,34,31,26.0,4.4,8.4,4.0,7.4,0.4,1.0,2.2,2.6,,,2.9,3.2,0.9,0.1,2.2,3.0,11.2,.517,.538,.364,.841,.583,.538,G,JR,keith-smart-1
4272,Kyle Weaver,382,CHA,2,38,2008,Washington State,2006-07,Washington State,34,33,33.9,3.9,8.0,3.6,6.9,0.3,1.1,3.1,4.1,1.6,4.0,5.6,4.6,2.2,1.2,2.7,2.1,11.2,.487,.528,.237,.770,.563,.504,G,JR,kyle-weaver-1
4273,Lavoy Allen,382,PHI,2,50,2011,Temple,2010-11,Temple,33,33,33.9,4.7,9.7,4.5,9.2,0.2,0.5,2.1,3.0,2.7,5.9,8.6,2.3,0.7,1.8,1.6,2.3,11.6,.480,.490,.294,.697,.519,.488,F,SR,lavoy-allen-1
4274,Peter Williams,382,GSW,7,145,1983,Utah,1981-82,Utah,28,28,32.1,5.3,10.2,5.3,10.2,,,3.1,4.3,,,7.5,0.7,1.0,0.9,2.5,3.0,13.6,.517,.517,,.723,.558,.517,F,JR,peter-williams-1
4275,Rod Grizzard,382,WAS,2,39,2002,Alabama,1999-00,Alabama,29,24,27.9,4.7,12.1,2.7,5.5,2.0,6.6,1.9,2.6,1.6,3.5,5.1,1.2,1.0,1.3,2.4,2.0,13.2,.384,.488,.297,.743,.493,.464,G,FR,rod-grizzard-1
4276,Roshern Amie,382,POR,6,131,1981,UTEP,1980-81,UTEP,30,,27.5,5.3,10.5,5.3,10.5,,,2.1,2.9,,,5.5,0.6,0.4,0.7,1.5,3.1,12.7,.503,.503,,.736,.535,.503,F,SR,roshern-amie-1
4277,Roy Hibbert,382,TOR,1,17,2008,Georgetown,2005-06,Georgetown,33,33,24.0,4.5,7.6,4.5,7.6,0.0,0.0,2.6,3.6,2.7,4.2,6.9,1.3,0.2,1.6,1.4,2.1,11.6,.590,.590,,.723,.621,.590,C,SO,roy-hibbert-1
4278,Shelvin Mack,382,WAS,2,34,2011,Butler,2008-09,Butler,32,32,30.7,3.8,9.8,2.0,4.3,1.8,5.5,2.5,3.3,1.3,3.2,4.4,3.5,1.1,0.0,2.1,2.2,11.9,.391,.474,.326,.757,.526,.482,G,FR,shelvin-mack-1
4279,Steve Black,382,PHI,3,67,1985,La Salle,1982-83,La Salle,19,15,31.9,8.8,17.7,8.8,17.7,,,2.5,3.3,,,2.6,1.5,1.3,0.2,2.8,2.1,20.1,.497,.497,,.774,.523,.497,G,SO,steve-black-1
4280,Sven Meyer,382,SAC,3,51,1987,Oregon,1986-87,Oregon,30,30,32.9,4.8,11.0,4.8,11.0,0.0,0.0,3.1,4.4,,,6.8,0.5,0.5,0.3,1.9,3.5,12.7,.436,.438,.000,.710,.487,.436,C,SR,sven-meyer-1
4281,Carven Holcombe,381,CLE,4,80,1987,TCU,1985-86,TCU,30,30,33.0,5.2,10.7,5.2,10.7,,,2.4,3.7,,,5.0,3.3,0.9,0.2,2.1,2.4,12.7,.481,.481,,.645,.509,.481,G,JR,carven-holcombe-1
4282,Dan Ruland,381,PHI,3,70,1983,James Madison,1981-82,James Madison,30,30,31.4,5.3,8.8,5.3,8.8,,,2.2,2.7,,,6.3,0.4,0.5,0.1,1.6,2.9,12.7,.598,.598,,.793,.629,.598,C,JR,dan-ruland-1
4283,Devin Booker,381,PHO,1,13,2015,Kentucky,2014-15,Kentucky,38,0,21.5,3.6,7.6,2.0,3.8,1.5,3.7,1.4,1.7,0.4,1.6,2.0,1.1,0.4,0.1,1.0,1.5,10.0,.470,.527,.411,.828,.600,.571,G,FR,devin-booker-2
4284,Greg Buckner,381,DAL,2,53,1998,Clemson,1995-96,Clemson,29,29,32.8,5.0,10.5,4.9,9.7,0.0,0.9,3.2,4.7,,,5.1,1.7,1.0,0.3,1.3,2.2,13.1,.472,.511,.040,.672,.515,.474,F,SO,greg-buckner-1
4285,John Shasky,381,UTA,3,61,1986,Minnesota,1984-85,Minnesota,28,,34.0,5.4,9.6,5.4,9.6,,,2.8,3.9,,,6.8,1.0,0.6,1.2,1.9,2.9,13.6,.567,.567,,.700,.595,.567,C,JR,john-shasky-1
4286,Josh Richardson,381,MIA,2,40,2015,Tennessee,2013-14,Tennessee,37,36,30.4,3.8,7.9,2.8,5.2,0.9,2.7,1.9,2.4,0.8,2.1,2.9,1.5,0.7,0.8,1.0,2.1,10.3,.474,.544,.340,.793,.570,.532,G,JR,josh-richardson-2
4287,Maceo Baston,381,CHI,2,58,1998,Michigan,1997-98,Michigan,30,24,27.0,4.3,7.2,4.3,7.2,0.0,0.0,4.1,6.3,,,7.4,1.2,0.8,1.1,2.9,3.3,12.7,.597,.597,,.654,.624,.597,F,SR,maceo-baston-1
4288,Michael Dickerson,381,HOU,1,14,1998,Arizona,1995-96,Arizona,32,11,23.0,4.5,10.3,3.5,7.4,1.0,2.8,1.9,2.6,,,3.5,1.8,0.7,0.3,1.9,1.6,11.9,.438,.475,.341,.738,.516,.485,F,SO,michael-dickerson-1
4289,Michael Finley,381,PHO,1,21,1995,Wisconsin,1991-92,Wisconsin,31,28,29.7,4.2,9.3,3.4,6.9,0.8,2.3,3.1,4.1,,,4.9,2.7,0.9,0.8,2.8,2.4,12.3,.453,.484,.361,.742,.548,.498,F,FR,michael-finley-1
4290,Michael Gbinije,381,DET,2,49,2016,Syracuse,2014-15,Syracuse,30,24,35.0,4.6,10.0,3.0,5.8,1.6,4.2,1.9,3.3,1.2,3.8,5.0,3.6,1.9,0.3,2.1,2.8,12.7,.460,.509,.392,.571,.550,.542,F,JR,michael-gbinije-1
4291,Rich DiBenedetto,381,IND,5,100,1982,,1980-81,Davidson,27,,,5.2,9.0,5.2,9.0,,,3.7,5.3,,,7.6,,,,,,14.1,.583,.583,,.697,.616,.583,F,JR,rich-dibenedetto-1
4292,Robert Horry,381,HOU,1,11,1992,Alabama,1990-91,Alabama,33,30,29.1,4.0,9.0,3.0,6.0,1.0,3.0,2.5,3.1,,,7.9,1.7,1.2,2.3,2.2,3.2,11.5,.449,.505,.337,.804,.553,.505,F,JR,robert-horry-1
4293,Steve Burtt,381,GSW,2,30,1984,Iona,1980-81,Iona,28,18,28.6,5.3,11.0,5.3,11.0,,,3.0,4.5,,,2.6,2.3,1.1,0.1,4.1,2.8,13.6,.482,.482,,.659,.516,.482,G,FR,steve-burtt-1
4294,Tony Simms,381,NYK,6,128,1983,Boston University,1980-81,Boston University,26,20,26.7,5.5,12.1,5.5,12.1,,,3.6,5.4,,,4.3,2.1,1.3,0.2,3.7,3.5,14.7,.457,.457,,.664,.499,.457,G,SO,tony-simms-1
4295,Tyren Naulls,381,NJN,5,110,1983,Texas A&M,1982-83,Texas A&M,31,,32.1,4.4,8.3,4.4,8.3,,,3.6,4.5,,,3.2,4.5,1.6,0.0,3.3,2.4,12.3,.525,.525,,.793,.589,.525,G,SR,tyren-naulls-1
4296,Wes Johnson,381,MIN,1,4,2010,Syracuse,2006-07,Iowa State,31,30,31.7,4.5,10.2,3.5,6.7,1.0,3.5,2.2,2.9,3.2,4.7,7.9,1.1,0.8,1.1,2.0,2.5,12.3,.445,.524,.294,.753,.530,.495,F,FR,wes-johnson-1
4297,Bernard Perry,380,WAS,8,172,1983,Howard,1980-81,Howard,29,,,5.8,11.8,5.8,11.8,,,1.5,2.1,,,3.5,,,,,,13.1,.491,.491,,.710,.512,.491,G,SO,bernard-perry-1
4298,Bob Sura Jr,380,CLE,1,17,1995,Florida State,1991-92,Florida State,31,12,28.1,4.0,8.7,2.7,5.5,1.3,3.2,3.0,4.8,,,3.5,2.5,1.3,0.2,2.3,2.2,12.3,.461,.497,.398,.627,.558,.533,G,FR,bob-sura-1
4299,Byron Williams,380,WAS,6,127,1982,Idaho State,1981-82,Idaho State,26,25,29.2,6.0,12.3,6.0,12.3,,,2.7,3.0,,,2.5,2.0,1.1,0.0,2.3,2.2,14.6,.486,.486,,.897,.534,.486,F,SR,byron-williams-1
4300,Chris Porter,380,GSW,2,55,2000,Auburn,1999-00,Auburn,26,26,29.0,5.4,11.7,5.3,11.0,0.2,0.7,3.6,5.3,3.6,3.7,7.3,1.2,2.0,0.3,2.1,2.7,14.6,.464,.477,.235,.676,.513,.470,F,SR,chris-porter-1
4301,Corny Thompson,380,DAL,3,50,1982,Connecticut,1981-82,Connecticut,27,27,36.2,5.5,10.8,5.5,10.8,,,3.0,4.2,,,8.3,1.7,1.6,0.6,2.3,3.2,14.1,.512,.512,,.719,.550,.512,F,SR,corny-thompson-1
4302,Daniel Hamilton,380,DEN,2,56,2016,Connecticut,2014-15,Connecticut,35,35,31.4,4.0,10.5,2.7,6.6,1.3,3.8,1.6,2.4,1.1,6.6,7.6,3.7,0.9,0.4,2.3,2.5,10.9,.380,.401,.343,.667,.468,.443,G,FR,daniel-hamilton-1
4303,Derrick Caracter,380,LAL,2,58,2010,UTEP,2009-10,UTEP,27,22,26.7,5.5,9.7,5.3,9.1,0.1,0.6,3.0,4.4,2.7,5.4,8.1,1.1,1.0,0.9,2.9,3.0,14.1,.567,.585,.267,.672,.598,.575,F,JR,derrick-caracter-1
4304,Devin Vassell,380,SAS,1,11,2020,Florida State,2019-20,Florida State,30,30,28.8,4.8,9.8,3.3,6.3,1.5,3.5,1.6,2.2,1.3,3.8,5.1,1.6,1.4,1.0,0.8,1.9,12.7,.490,.532,.415,.738,.585,.565,G,SO,devin-vassell-1
4305,Jamie Dixon,380,WAS,7,150,1987,TCU,1986-87,TCU,31,15,32.2,3.8,8.5,2.2,4.9,1.6,3.6,2.9,4.1,,,3.4,5.4,1.3,0.0,2.2,2.0,12.3,.449,.447,.451,.711,.583,.545,G,SR,jamie-dixon-1
4306,Jeff Acres,380,IND,7,140,1985,Oral Roberts,1984-85,Oral Roberts,30,30,32.2,4.9,9.6,4.9,9.6,,,2.9,4.6,,,6.3,2.5,1.0,0.2,1.9,2.5,12.7,.509,.509,,.642,.540,.509,F,SR,jeff-acres-1
4307,Jerome Williams,380,DET,1,26,1996,Georgetown,1995-96,Georgetown,37,37,27.5,4.0,6.8,3.9,6.6,0.0,0.2,2.3,3.6,,,8.8,1.4,1.9,0.4,1.9,1.8,10.3,.588,.601,.143,.639,.607,.590,F,SR,jerome-williams-1
4308,Joe Carrabino,380,DEN,6,135,1985,Harvard,1980-81,Harvard,26,,,5.8,10.6,5.8,10.6,,,3.0,3.8,,,4.1,1.0,,,,2.7,14.6,.549,.549,,.780,.589,.549,F,FR,joe-carrabino-1
4309,Marlow McClain,380,DET,9,192,1983,Eastern Michigan,1980-81,Eastern Michigan,26,,32.0,6.5,13.1,6.5,13.1,,,1.7,2.1,,,2.7,3.2,1.9,,,2.2,14.6,.494,.494,,.800,.519,.494,G,SO,marlow-mcclain-1
4310,Matisse Thybulle,380,BOS,1,20,2019,Washington,2017-18,Washington,34,33,32.3,4.1,9.3,2.4,4.6,1.7,4.7,1.2,1.6,0.9,2.1,2.9,2.6,3.0,1.4,2.2,2.4,11.2,.445,.525,.365,.714,.553,.536,G,JR,matisse-thybulle-1
4311,Otis Thorpe,380,SAC,1,9,1984,Providence,1981-82,Providence,27,27,34.9,5.7,10.5,5.7,10.5,,,2.7,4.3,,,8.0,1.3,0.4,1.0,2.7,3.4,14.1,.541,.541,,.643,.563,.541,F,SO,otis-thorpe-1
4312,Rajon Rondo,380,PHO,1,21,2006,Kentucky,2005-06,Kentucky,34,28,31.0,4.3,9.0,3.8,7.0,0.5,1.9,2.0,3.5,1.1,5.1,6.1,4.9,2.0,0.1,2.3,2.1,11.2,.482,.540,.273,.571,.526,.511,G,SO,rajon-rondo-1
4313,Ricky Grace,380,UTA,3,67,1988,Oklahoma,1986-87,Oklahoma,34,34,30.9,3.6,7.9,2.1,4.4,1.5,3.5,2.4,3.4,,,3.1,5.6,2.2,0.3,3.2,3.0,11.2,.461,.477,.441,.702,.588,.558,G,JR,ricky-grace-1
4314,Steve Nash,380,PHO,1,15,1996,Santa Clara,1993-94,Santa Clara,26,23,29.9,4.7,11.3,2.1,4.9,2.6,6.5,2.7,3.2,,,2.5,3.7,1.3,0.0,2.8,2.2,14.6,.414,.433,.399,.831,.568,.527,G,SO,steve-nash-1
4315,Toney Douglas,380,LAL,1,29,2009,Florida State,2006-07,Florida State,30,28,28.8,4.8,10.0,3.7,7.4,1.0,2.6,2.1,2.7,0.8,2.0,2.7,2.9,1.2,0.3,2.4,1.8,12.7,.475,.502,.397,.788,.560,.527,G,SO,toney-douglas-1
4316,Winfred King,380,BOS,3,52,1983,East Tennessee State,1982-83,East Tennessee State,25,,,5.9,11.4,5.9,11.4,,,3.4,5.2,,,10.3,1.6,,,,3.5,15.2,.514,.514,,.656,.546,.514,C,SR,winfred-king-1
4317,Adreian Payne,379,ATL,1,15,2014,Michigan State,2012-13,Michigan State,36,24,25.6,3.8,7.0,3.4,5.8,0.4,1.2,2.5,2.9,2.1,5.5,7.6,0.8,0.8,1.3,1.8,2.6,10.5,.546,.579,.381,.848,.630,.578,C,JR,adreian-payne-1
4318,Anicet Lavodrama,379,LAC,3,52,1985,Houston Baptist,1983-84,Houston Baptist,30,,,4.9,8.0,4.9,8.0,,,2.8,5.5,,,7.1,2.5,,1.6,,,12.6,.614,.614,,.503,.593,.614,C,JR,anicet-lavodrama-1
4319,Antoine Wright,379,NJN,1,15,2005,Texas A&M,2003-04,Texas A&M,28,26,30.4,4.6,12.6,3.0,7.0,1.7,5.6,2.6,4.1,1.3,2.8,4.1,2.3,0.9,0.3,2.1,2.4,13.5,.368,.426,.297,.626,.465,.435,F,SO,antoine-wright-1
4320,Armon Johnson,379,POR,2,34,2010,Nevada,2007-08,Nevada,33,32,31.2,4.1,8.4,3.2,6.0,0.8,2.5,2.5,3.2,0.8,3.3,4.0,3.4,0.8,0.2,2.4,2.1,11.5,.482,.538,.346,.776,.576,.532,G,FR,armon-johnson-1
4321,Cedric Henderson,379,CLE,2,45,1997,Memphis,1995-96,Memphis,30,30,29.2,4.9,9.9,3.9,7.3,1.0,2.6,1.9,3.1,,,4.0,1.3,1.5,0.5,2.3,2.5,12.6,.492,.527,.390,.613,.555,.542,F,JR,cedric-henderson-2
4322,Corsley Edwards,379,SAC,2,58,2002,Central Connecticut State,1999-00,Central Connecticut State,31,31,26.2,4.9,9.8,4.9,9.8,0.0,0.0,2.4,4.2,2.9,4.6,7.5,0.7,0.5,2.0,1.9,2.8,12.2,.502,.503,.000,.566,.517,.502,C,SO,corsley-edwards-1
4323,Gerald Wilkins,379,NYK,2,47,1985,Chattanooga,1982-83,Chattanooga,30,30,32.7,5.6,11.7,5.6,11.6,0.0,0.1,1.4,2.1,,,3.8,0.9,1.5,0.2,1.8,2.1,12.6,.483,.486,.000,.661,.499,.483,G,SO,gerald-wilkins-1
4324,Jon Sundvold,379,OKC,1,16,1983,Missouri,1981-82,Missouri,31,31,34.3,4.8,9.9,4.8,9.9,,,2.6,3.0,,,2.1,2.7,1.1,0.1,1.6,1.4,12.2,.485,.485,,.871,.540,.485,G,JR,jon-sundvold-1
4325,Kannard Johnson,379,CLE,2,41,1987,Western Kentucky,1985-86,Western Kentucky,31,30,29.5,4.8,10.1,4.8,10.1,,,2.5,3.8,,,5.5,0.8,0.5,0.2,1.5,2.7,12.2,.479,.479,,.664,.513,.479,F,JR,kannard-johnson-1
4326,Kris Joseph,379,BOS,2,51,2012,Syracuse,2009-10,Syracuse,35,4,27.8,3.6,7.4,3.4,6.2,0.3,1.2,3.3,4.4,1.7,3.8,5.5,1.7,1.4,0.4,1.8,1.8,10.8,.490,.541,.220,.748,.570,.508,F,SO,kris-joseph-1
4327,Mario Chalmers,379,MIN,2,34,2008,Kansas,2005-06,Kansas,33,21,26.0,3.7,8.2,2.2,4.4,1.5,3.9,2.7,3.4,0.2,2.0,2.2,3.8,2.7,0.2,2.8,2.3,11.5,.445,.507,.375,.788,.582,.533,G,FR,mario-chalmers-1
4328,Mark Hendrickson,379,PHI,2,31,1996,Washington State,1995-96,Washington State,23,,33.2,5.5,9.7,5.2,8.3,0.3,1.3,5.1,7.2,,,9.5,1.6,0.9,0.2,2.8,3.0,16.5,.572,.623,.258,.709,.631,.590,F,SR,mark-hendrickson-1
4329,Marlon Maxey,379,MIN,2,28,1992,UTEP,1991-92,UTEP,25,20,28.4,5.4,10.4,5.4,10.4,0.0,0.0,4.4,6.0,,,7.4,0.4,0.5,0.9,1.4,2.6,15.2,.521,.521,,.727,.574,.521,F,SR,marlon-maxey-1
4330,Mason Plumlee,379,NJN,1,22,2013,Duke,2011-12,Duke,34,31,28.4,4.2,7.4,4.2,7.4,0.0,0.0,2.7,5.2,2.9,6.3,9.2,1.6,0.8,1.6,2.2,2.5,11.1,.572,.572,,.528,.568,.572,F,JR,mason-plumlee-1
4331,Matt Doherty,379,CLE,6,119,1984,North Carolina,1982-83,North Carolina,36,,34.0,3.4,7.9,2.9,6.5,0.6,1.4,3.1,3.9,,,3.8,4.2,0.9,0.3,1.8,2.2,10.5,.438,.444,.408,.782,.541,.473,F,JR,matt-doherty-1
4332,Matt Steigenga,379,CHI,2,52,1992,Michigan State,1990-91,Michigan State,30,30,30.4,4.9,9.4,4.5,8.5,0.4,0.9,2.3,3.3,,,4.9,2.1,0.4,1.1,2.2,3.0,12.6,.525,.527,.500,.700,.575,.548,F,JR,matt-steigenga-1
4333,Othella Harrington,379,HOU,2,30,1996,Georgetown,1994-95,Georgetown,31,31,24.7,4.3,7.6,4.3,7.6,0.0,0.0,3.7,5.3,,,6.0,0.8,0.9,1.4,2.6,2.8,12.2,.559,.562,.000,.706,.605,.559,C,JR,othella-harrington-1
4334,Randy White,379,DAL,1,8,1989,Louisiana Tech,1986-87,Louisiana Tech,30,29,26.1,4.8,8.4,4.8,8.4,0.0,0.0,2.9,4.3,,,6.5,0.5,0.7,0.7,1.3,3.6,12.6,.575,.574,1.000,.677,.604,.577,F,SO,randy-white-1
