PLAYER,SALARY ($),SEASON
Art Long,47258,1999-2000
Jason Lawson,47258,1999-2000
Maceo Baston,37806,1999-2000
Brett Robisch,37806,1999-2000
Kebu Stewart,35804,1999-2000
Jason Miskiri,30211,1999-2000
Louis Bullock,18903,1999-2000
Robert Werdann,14122,1999-2000
Jimmy Oliver,14122,1999-2000
John Morton,12731,1999-2000
Andy Panko,9451,1999-2000
Jonathan Kerner,9451,1999-2000
Ira Bowman,8561,1999-2000
Trevor Winter,8561,1999-2000
Steve Goodrich,8561,1999-2000
Jason Sasser,5115,1999-2000
Kevin Garnett,35736495,2000-2001
Shaquille O'Neal,35145530,2000-2001
Alonzo Mourning,30761450,2000-2001
Juwan Howard,30752338,2000-2001
Hakeem Olajuwon,30433425,2000-2001
Karl Malone,28702182,2000-2001
David Robinson,26788703,2000-2001
Dikembe Mutombo,26241995,2000-2001
Patrick Ewing,25513051,2000-2001
Jayson Williams,25148578,2000-2001
Scottie Pippen,25057460,2000-2001
Rasheed Wallace,22961745,2000-2001
Gary Payton,22232801,2000-2001
Tim Hardaway,21868329,2000-2001
Chris Webber,21868329,2000-2001
Shawn Kemp,21358068,2000-2001
Damon Stoudamire,20501558,2000-2001
Arvydas Sabonis,20501558,2000-2001
Larry Johnson,20045968,2000-2001
John Stockton,20045968,2000-2001
Antonio McDyess,19681496,2000-2001
Reggie Miller,19444589,2000-2001
Antoine Walker,18460514,2000-2001
Stephon Marbury,18460514,2000-2001
Zydrunas Ilgauskas,18460514,2000-2001
Kobe Bryant,18460514,2000-2001
Shareef Abdur-Rahim,18460514,2000-2001
Ray Allen,18460514,2000-2001
Vin Baker,18460514,2000-2001
Allen Iverson,18460514,2000-2001
Anfernee Hardaway,18460514,2000-2001
Latrell Sprewell,18451402,2000-2001
Bryant Reeves,18424067,2000-2001
Mitch Richmond,18223607,2000-2001
Rod Strickland,18223607,2000-2001
Jalen Rose,17604005,2000-2001
Grant Hill,17604005,2000-2001
Tracy McGrady,17604005,2000-2001
Tim Duncan,17604005,2000-2001
Vlade Divac,17567558,2000-2001
Tom Gugliotta,17057296,2000-2001
Nick Van Exel,16765719,2000-2001
Keith Van Horn,16401247,2000-2001
Allan Houston,16401247,2000-2001
Eddie Jones,16328352,2000-2001
Brian Grant,16219011,2000-2001
Tim Thomas,15508290,2000-2001
Michael Finley,15307830,2000-2001
Shawn Bradley,15253159,2000-2001
Terrell Brandon,15180265,2000-2001
Glenn Robinson,14797569,2000-2001
Steve Smith,14761122,2000-2001
Elden Campbell,14670004,2000-2001
Danny Manning,14633556,2000-2001
Derrick Coleman,14578886,2000-2001
Avery Johnson,14578886,2000-2001
Theo Ratliff,14214414,2000-2001
Kerry Kittles,14159743,2000-2001
Jason Kidd,13995730,2000-2001
Glen Rice,13811490,2000-2001
Kenny Anderson,13704153,2000-2001
Matt Geiger,13696572,2000-2001
Tyrone Hill,13303233,2000-2001
Kendall Gill,12756525,2000-2001
Clifford Robinson,12556065,2000-2001
Christian Laettner,12073140,2000-2001
Horace Grant,11845345,2000-2001
Jamal Mashburn,11298636,2000-2001
Chris Dudley,11298636,2000-2001
Toni Kukoc,10934164,2000-2001
Dale Davis,10934164,2000-2001
Bryant Stith,10788375,2000-2001
Alan Henderson,10770152,2000-2001
Charles Oakley,10496798,2000-2001
Marcus Camby,10478574,2000-2001
Luc Longley,10478574,2000-2001
PJ Brown,10460350,2000-2001
Jermaine O'Neal,10405680,2000-2001
Donyell Marshall,10259891,2000-2001
Erick Dampier,10223444,2000-2001
Wesley Person,10205220,2000-2001
Chris Gatling,10114102,2000-2001
Anthony Mason,10114102,2000-2001
Ron Mercer,10059431,2000-2001
Steve Nash,10022984,2000-2001
Isaac Austin,10022984,2000-2001
Antonio Davis,10022984,2000-2001
Jim McIlvaine,9840748,2000-2001
Derrick McKey,9840748,2000-2001
Kelvin Cato,9713183,2000-2001
Jerry Stackhouse,9676735,2000-2001
Austin Croshere,9658512,2000-2001
Sean Elliott,9658512,2000-2001
Greg Ostertag,9476276,2000-2001
Charlie Ward,9184698,2000-2001
Lorenzen Wright,9020685,2000-2001
Loy Vaught,8769245,2000-2001
Chris Mills,8747331,2000-2001
Mookie Blaylock,8747331,2000-2001
Robert Horry,8747331,2000-2001
Hersey Hawkins,8674436,2000-2001
Chris Childs,8528648,2000-2001
Chris Mullin,8473976,2000-2001
Bobby Phills,8455754,2000-2001
Bryon Russell,8328188,2000-2001
Tariq Abdul-Wahad,8200623,2000-2001
Bo Outlaw,8200623,2000-2001
Bob Sura,8000163,2000-2001
Jason Caffey,7981940,2000-2001
Robert Pack,7872598,2000-2001
Brent Barry,7872598,2000-2001
Vitaly Potapenko,7817927,2000-2001
Brevin Knight,7745033,2000-2001
Howard Eisley,7745033,2000-2001
Walt Williams,7745033,2000-2001
Scott Williams,7653915,2000-2001
Dan Majerle,7380561,2000-2001
Brad Miller,7289443,2000-2001
Ben Wallace,7289443,2000-2001
Duane Causwell,7289443,2000-2001
Sam Cassell,7289443,2000-2001
Danny Fortson,7198325,2000-2001
Corliss Williamson,7180101,2000-2001
Cedric Ceballos,7175545,2000-2001
Jahidi White,7147299,2000-2001
Cuttino Mobley,7143654,2000-2001
Rashard Lewis,7143654,2000-2001
Scot Pollard,7143654,2000-2001
Eric Williams,7088983,2000-2001
Voshon Lenard,6888523,2000-2001
Nick Anderson,6833852,2000-2001
Dana Barros,6742734,2000-2001
Michael Olowokandi,6738069,2000-2001
Doug West,6706287,2000-2001
Kurt Thomas,6706287,2000-2001
Elton Brand,6613638,2000-2001
Adonal Foyle,6524051,2000-2001
Mark Jackson,6505828,2000-2001
Kenyon Martin,6445034,2000-2001
Michael Stewart,6414709,2000-2001
Derek Strong,6396486,2000-2001
Travis Best,6378262,2000-2001
Rex Chapman,6378262,2000-2001
Greg Anthony,6378262,2000-2001
Rick Fox,6196026,2000-2001
Adam Keefe,6177803,2000-2001
Lamond Murray,6159579,2000-2001
Derek Fisher,6159579,2000-2001
Eric Snow,6159579,2000-2001
Mike Bibby,6028661,2000-2001
Jud Buechler,5940896,2000-2001
Steve Francis,5917132,2000-2001
Greg Minor,5904448,2000-2001
Tony Battie,5831554,2000-2001
Travis Knight,5831554,2000-2001
Don MacLean,5792373,2000-2001
Stromile Swift,5766459,2000-2001
Doug Christie,5722212,2000-2001
Darrell Armstrong,5649318,2000-2001
Tracy Murray,5576424,2000-2001
Mark Bryant,5520418,2000-2001
Chucky Atkins,5467082,2000-2001
Tyrone Nesby,5448858,2000-2001
Raef LaFrentz,5413942,2000-2001
Samaki Walker,5394187,2000-2001
Baron Davis,5314004,2000-2001
David Wesley,5248399,2000-2001
Brent Price,5248399,2000-2001
Dean Garrett,5248399,2000-2001
Jerome Williams,5230175,2000-2001
Kevin Willis,5230175,2000-2001
Mikki Moore,5193728,2000-2001
Darius Miles,5178639,2000-2001
Antonio Daniels,5139057,2000-2001
Popeye Jones,5125389,2000-2001
Anthony Peeler,4993268,2000-2001
Jon Barry,4975044,2000-2001
Cedric Henderson,4920374,2000-2001
Ervin Johnson,4920374,2000-2001
Lawrence Funderburke,4920374,2000-2001
Antawn Jamison,4881011,2000-2001
Walter McCarty,4865703,2000-2001
Lindsey Hunter,4829256,2000-2001
Lamar Odom,4790913,2000-2001
Vernon Maxwell,4683466,2000-2001
Malik Rose,4683467,2000-2001
Marcus Fizer,4668888,2000-2001
Erick Strickland,4665243,2000-2001
Dragan Tarlac,4555901,2000-2001
Vince Carter,4420026,2000-2001
Matt Maloney,4375487,2000-2001
Gary Trent,4373665,2000-2001
Terry Mills,4373665,2000-2001
Mark Strickland,4373665,2000-2001
Jonathan Bender,4338457,2000-2001
Sam Mitchell,4318995,2000-2001
Chris Whitney,4318995,2000-2001
Jim Jackson,4246100,2000-2001
Mike Miller,4228022,2000-2001
Dale Ellis,4173206,2000-2001
Randy Brown,4100311,2000-2001
Aaron Williams,4100311,2000-2001
Bimbo Coles,4100311,2000-2001
Joe Smith,4100311,2000-2001
Maurice Taylor,4100311,2000-2001
Sam Perkins,4100311,2000-2001
Brian Shaw,4100311,2000-2001
Othella Harrington,4100311,2000-2001
A.C. Green,4100311,2000-2001
Chauncey Billups,4100311,2000-2001
Tony Delk,4100311,2000-2001
Will Perdue,4100311,2000-2001
Bobby Jackson,4100311,2000-2001
Derek Anderson,4100311,2000-2001
John Starks,4100311,2000-2001
Eric Montross,4082088,2000-2001
Robert Traylor,4014806,2000-2001
Chris Crawford,4009193,2000-2001
Jamie Feick,4009193,2000-2001
Otis Thorpe,4009193,2000-2001
J.R. Reid,4009193,2000-2001
Calbert Cheaney,4009193,2000-2001
George McCloud,4009193,2000-2001
John Wallace,4009193,2000-2001
Michael Curry,4009193,2000-2001
Terry Cummings,4009193,2000-2001
Carlos Rogers,4009193,2000-2001
Shandon Anderson,4009193,2000-2001
Eric Piatkowski,4009193,2000-2001
Ron Harper,4009193,2000-2001
Grant Long,4009193,2000-2001
George Lynch,4009193,2000-2001
Rodney Rogers,4009193,2000-2001
Detlef Schrempf,4009193,2000-2001
Steve Kerr,4009193,2000-2001
Terry Porter,4009193,2000-2001
Olden Polynice,4009193,2000-2001
Michael Smith,4009193,2000-2001
Wally Szczerbiak,3940454,2000-2001
Lucious Harris,3936299,2000-2001
Cory Alexander,3936299,2000-2001
Sean Rooks,3936299,2000-2001
DerMarr Johnson,3840078,2000-2001
John Williams,3826957,2000-2001
Clarence Weatherspoon,3826957,2000-2001
Hubert Davis,3826957,2000-2001
Billy Owens,3826957,2000-2001
Eric Murdock,3826957,2000-2001
Vinny Del Negro,3826957,2000-2001
Matt Bullard,3826957,2000-2001
Cherokee Parks,3826957,2000-2001
Alvin Williams,3826957,2000-2001
Jason Williams,3664913,2000-2001
Johnny Newman,3644721,2000-2001
Dell Curry,3644721,2000-2001
Richard Hamilton,3597121,2000-2001
Chris Mihm,3505493,2000-2001
Keith Closs,3498932,2000-2001
Andrew DeClercq,3498932,2000-2001
James Robinson,3407814,2000-2001
Larry Hughes,3357663,2000-2001
Aaron McKie,3313051,2000-2001
Andre Miller,3295557,2000-2001
Jamal Crawford,3211582,2000-2001
Greg Foster,3207354,2000-2001
Jaren Jackson Jr,3189131,2000-2001
Lorenzo Williams,3189131,2000-2001
Muggsy Bogues,3170907,2000-2001
Darvin Ham,3098013,2000-2001
Dirk Nowitzki,3086277,2000-2001
Shawn Marion,3029200,2000-2001
Joel Przybilla,2952005,2000-2001
Paul Pierce,2931886,2000-2001
Jason Terry,2877653,2000-2001
Keyon Dooling,2804394,2000-2001
Bonzi Wells,2785369,2000-2001
Trajan Langdon,2733759,2000-2001
Jacque Vaughn,2733541,2000-2001
Predrag Stojakovic,2697093,2000-2001
Jerome Moiso,2664218,2000-2001
Michael Doleac,2646067,2000-2001
Aleksandar Radojevic,2597082,2000-2001
Etan Thomas,2531040,2000-2001
Keon Clark,2513764,2000-2001
Tony Massenburg,2478410,2000-2001
Corey Maggette,2467403,2000-2001
Corie Blount,2405516,2000-2001
Courtney Alexander,2404422,2000-2001
Gary Grant,2399991,2000-2001
Michael Dickerson,2388021,2000-2001
William Avery,2343847,2000-2001
Mateen Cleaves,2284147,2000-2001
Matt Harpring,2268620,2000-2001
Anthony Johnson,2186832,2000-2001
Chris Carr,2186832,2000-2001
Eldridge Recasner,2186832,2000-2001
Joe Kleine,2186832,2000-2001
Zan Tabak,2186832,2000-2001
Chuck Person,2186832,2000-2001
Anthony Carter,2186832,2000-2001
LaPhonso Ellis,2186832,2000-2001
Danny Ferry,2186832,2000-2001
Dennis Scott,2186832,2000-2001
Jason Collier,2169994,2000-2001
Bryce Drew,2155123,2000-2001
Metta World Peace,2115323,2000-2001
Elliot Perry,2084779,2000-2001
Hidayet Turkoglu,2061527,2000-2001
Tom Hammonds,2059267,2000-2001
Radoslav Nesterovic,2047531,2000-2001
Jelani McCoy,2022820,2000-2001
Cal Bowdler,2009699,2000-2001
Sherman Douglas,2004596,2000-2001
Greg Buckner,2004596,2000-2001
Desmond Mason,1958527,2000-2001
Mirsad Turkcan,1948832,2000-2001
James Posey,1909105,2000-2001
Bill Curley,1885231,2000-2001
Quentin Richardson,1860557,2000-2001
Pat Garrity,1857495,2000-2001
Quincy Lewis,1823162,2000-2001
Kevin Edwards,1822360,2000-2001
Jerome Kersey,1822360,2000-2001
Felton Spencer,1822360,2000-2001
David Wingate,1822360,2000-2001
Pervis Ellison,1822360,2000-2001
Dee Brown,1822360,2000-2001
Monty Williams,1822360,2000-2001
Mario Elie,1822360,2000-2001
Tyrone Corbin,1822360,2000-2001
Bruno Sundov,1816892,2000-2001
Ruben Patterson,1804137,2000-2001
Roshown McLeod,1783362,2000-2001
Jamaal Magloire,1776801,2000-2001
Dion Glover,1750341,2000-2001
Ricky Davis,1711852,2000-2001
Speedy Claxton,1705729,2000-2001
Terry Davis,1682950,2000-2001
Stacey Augmon,1682950,2000-2001
Jeff Foster,1680362,2000-2001
Brian Skinner,1643404,2000-2001
Morris Peterson,1637500,2000-2001
Kenny Thomas,1613007,2000-2001
Fred Hoiberg,1603677,2000-2001
Tyronn Lue,1577799,2000-2001
Donnell Harvey,1571895,2000-2001
Devean George,1548496,2000-2001
Felipe Lopez,1514600,2000-2001
DeShawn Stevenson,1509133,2000-2001
John Crotty,1457888,2000-2001
Mahmoud Abdul-Rauf,1455155,2000-2001
Al Harrington,1454025,2000-2001
Dalibor Bagaric,1448776,2000-2001
Tim James,1427127,2000-2001
Sam Jacobson,1400483,2000-2001
Iakovos Tsakalidis,1390825,2000-2001
Vonteego Cummings,1379891,2000-2001
Corey Benjamin,1365239,2000-2001
Vladimir Stepania,1365239,2000-2001
Nazr Mohammed,1346870,2000-2001
Mamadou N'diaye,1344683,2000-2001
Isaiah Rider,1341257,2000-2001
Todd Day,1341257,2000-2001
David Benoit,1341257,2000-2001
Jumaine Jones,1340528,2000-2001
Bruce Bowen,1335790,2000-2001
Scott Padgett,1331781,2000-2001
Erick Barkley,1297885,2000-2001
Damon Jones,1293876,2000-2001
Mark Madsen,1288481,2000-2001
Reggie Slater,1227359,2000-2001
Darrick Martin,1227359,2000-2001
Larry Robinson,1113462,2000-2001
Todd Fuller,1113462,2000-2001
Don Reid,1113462,2000-2001
Antonio Harvey,1113462,2000-2001
Emanual Davis,1111640,2000-2001
Eddie Robinson,1093416,2000-2001
John Amaechi,1093416,2000-2001
Shammond Williams,1002298,2000-2001
Doug Overton,999564,2000-2001
Shawnelle Scott,999564,2000-2001
Rick Brunson,983162,2000-2001
Kevin Ollie,954005,2000-2001
Moochie Norris,954005,2000-2001
Tyus Edney,954005,2000-2001
Jeff McInnis,954005,2000-2001
Etdrick Bohannon,954005,2000-2001
Troy Hudson,954005,2000-2001
Roy Rogers,954005,2000-2001
Ryan Bowen,929404,2000-2001
Ansu Sesay,925759,2000-2001
Laron Profit,925759,2000-2001
Adrian Griffin,908446,2000-2001
Earl Boykins,908446,2000-2001
William Cunningham,908446,2000-2001
Mark Pope,908446,2000-2001
Andrae Patterson,908446,2000-2001
Kornel David,908446,2000-2001
Gerard King,892045,2000-2001
Leon Smith,881439,2000-2001
Michael Ruffin,801838,2000-2001
Evan Eschmeyer,771769,2000-2001
Rodney Buford,771769,2000-2001
Michael Hawkins,771769,2000-2001
Lari Ketner,771769,2000-2001
Maceo Baston,771769,2000-2001
Rafer Alston,771769,2000-2001
Jonathan Kerner,771769,2000-2001
Lazaro Borrell,771769,2000-2001
Jermaine Jackson,771769,2000-2001
Todd MacCulloch,771769,2000-2001
Derrick Dial,771769,2000-2001
Calvin Booth,771769,2000-2001
Obinna Ekezie,771769,2000-2001
Hanno Mottola,577631,2000-2001
Mark Blount,577631,2000-2001
Milt Palacio,577631,2000-2001
Chris Herren,577631,2000-2001
Soumaila Samake,577631,2000-2001
Stephen Jackson,577631,2000-2001
Lee Nailon,577631,2000-2001
Terrance Roberson,577631,2000-2001
AJ Guyton,577631,2000-2001
Jake Voskuhl,577631,2000-2001
Khalid El-Amin,577631,2000-2001
Eduardo Najera,577631,2000-2001
Brian Cardinal,577631,2000-2001
Torraye Braggs,577631,2000-2001
Marc Jackson,577631,2000-2001
Chris Porter,577631,2000-2001
Dan Langhi,577631,2000-2001
Zendon Hamilton,577631,2000-2001
Stanislav Medvedenko,577631,2000-2001
Mike Penberthy,577631,2000-2001
Eddie House,577631,2000-2001
Jason Hart,577631,2000-2001
Michael Redd,577631,2000-2001
Lavor Postell,577631,2000-2001
Pete Mickeal,577631,2000-2001
Olumide Oyedeji,577631,2000-2001
Ruben Wolkowyski,577631,2000-2001
Pepe Sanchez,577631,2000-2001
Ademola Okulaja,577631,2000-2001
Daniel Santiago,577631,2000-2001
Paul McPherson,577631,2000-2001
Ruben Garces,577631,2000-2001
Jabari Smith Sr,577631,2000-2001
Ira Newble,577631,2000-2001
Chris Carrawell,577631,2000-2001
Garth Joseph,577631,2000-2001
Mike Smith,577631,2000-2001
Mark Karcher,91118,2000-2001
Anthony Miller,72894,2000-2001
Jamal Robinson,72894,2000-2001
Kevin Garnett,39536629,2001-2002
Shaquille O'Neal,37822031,2001-2002
Alonzo Mourning,33102748,2001-2002
Juwan Howard,33094276,2001-2002
Scottie Pippen,31917998,2001-2002
Karl Malone,30887991,2001-2002
Jayson Williams,26696049,2001-2002
Rasheed Wallace,25416404,2001-2002
Dikembe Mutombo,25267771,2001-2002
Gary Payton,22815623,2001-2002
Allan Houston,22504108,2001-2002
Chris Webber,22504108,2001-2002
Shawn Kemp,22345255,2001-2002
Damon Stoudamire,21842222,2001-2002
Reggie Miller,21259895,2001-2002
Antonio McDyess,20650828,2001-2002
Bryant Reeves,20395877,2001-2002
Larry Johnson,20007853,2001-2002
Shareef Abdur-Rahim,19856566,2001-2002
Antoine Walker,19856566,2001-2002
Zydrunas Ilgauskas,19856566,2001-2002
Kobe Bryant,19856566,2001-2002
Ray Allen,19856566,2001-2002
Latrell Sprewell,19856566,2001-2002
Vin Baker,19856566,2001-2002
Allen Iverson,19856566,2001-2002
Anfernee Hardaway,19856566,2001-2002
Stephon Marbury,19856566,2001-2002
Mitch Richmond,19415308,2001-2002
Antonio Davis,19415308,2001-2002
Keith Van Horn,19177471,2001-2002
Jalen Rose,19177471,2001-2002
Grant Hill,19177471,2001-2002
Tracy McGrady,19177471,2001-2002
Tim Duncan,19177471,2001-2002
Michael Finley,18753423,2001-2002
Vlade Divac,18435086,2001-2002
Nick Van Exel,17940878,2001-2002
Tom Gugliotta,17851494,2001-2002
Eddie Jones,17811339,2001-2002
Brian Grant,17518037,2001-2002
Tim Thomas,17076646,2001-2002
Theo Ratliff,17064236,2001-2002
David Robinson,16767766,2001-2002
Terrell Brandon,16414761,2001-2002
Steve Smith,15885252,2001-2002
Glenn Robinson,15867602,2001-2002
Glen Rice,15532247,2001-2002
Derrick Coleman,15373394,2001-2002
Jason Kidd,14910074,2001-2002
Kenny Anderson,14737984,2001-2002
Kerry Kittles,14414396,2001-2002
Matt Geiger,14371141,2001-2002
Elden Campbell,14076099,2001-2002
Toni Kukoc,13955694,2001-2002
Clifford Robinson,13513496,2001-2002
Marcus Camby,12884705,2001-2002
Chris Dudley,12708202,2001-2002
Dale Davis,12372846,2001-2002
John Stockton,12355196,2001-2002
Jamal Mashburn,12311070,2001-2002
Greg Ostertag,12237518,2001-2002
Ron Mercer,11913939,2001-2002
Tyrone Hill,11649185,2001-2002
Charles Oakley,11552108,2001-2002
Donyell Marshall,11490332,2001-2002
Alan Henderson,11473233,2001-2002
Maurice Taylor,11472682,2001-2002
Derek Anderson,11463857,2001-2002
PJ Brown,11304651,2001-2002
Jermaine O'Neal,11163802,2001-2002
Luc Longley,11163802,2001-2002
Austin Croshere,11137327,2001-2002
Wesley Person,11119676,2001-2002
Erick Dampier,11004950,2001-2002
Kelvin Cato,10674889,2001-2002
Jim McIlvaine,10590168,2001-2002
Derrick McKey,10590168,2001-2002
Bo Outlaw,10590168,2001-2002
Jerry Stackhouse,10314382,2001-2002
Steve Nash,10148911,2001-2002
Isaac Austin,10053096,2001-2002
Lorenzen Wright,9707654,2001-2002
Shandon Anderson,9707654,2001-2002
Nick Anderson,9534515,2001-2002
Chris Mills,9531151,2001-2002
Mookie Blaylock,9531151,2001-2002
Alvin Williams,9442900,2001-2002
Robert Horry,9354648,2001-2002
Loy Vaught,9217020,2001-2002
Bobby Phills,9213446,2001-2002
Bob Sura,9201679,2001-2002
Doug Christie,9178146,2001-2002
Chris Childs,9178146,2001-2002
Eddie Robinson,9125195,2001-2002
Bryon Russell,9077287,2001-2002
Charlie Ward,9019293,2001-2002
Tariq Abdul-Wahad,8935454,2001-2002
Hakeem Olajuwon,8933758,2001-2002
Walt Williams,8825140,2001-2002
Predrag Stojakovic,8825140,2001-2002
Jerome Williams,8825140,2001-2002
Jason Caffey,8494197,2001-2002
Howard Eisley,8439040,2001-2002
Vitaly Potapenko,8405946,2001-2002
Rod Strickland,8383883,2001-2002
Ben Wallace,8295632,2001-2002
Brent Barry,8260331,2001-2002
Michael Olowokandi,8229394,2001-2002
Scott Williams,8207380,2001-2002
Danny Fortson,8206558,2001-2002
Clarence Weatherspoon,8186200,2001-2002
Calvin Booth,8011462,2001-2002
Todd MacCulloch,8009697,2001-2002
Avery Johnson,8009697,2001-2002
Anthony Mason,8009697,2001-2002
Joe Smith,8009697,2001-2002
Ruben Patterson,8009697,2001-2002
Nazr Mohammed,7942626,2001-2002
Shawn Bradley,7942626,2001-2002
Brevin Knight,7942626,2001-2002
Christian Laettner,7942626,2001-2002
Eric Williams,7850844,2001-2002
Cuttino Mobley,7789730,2001-2002
Kurt Thomas,7789730,2001-2002
Rashard Lewis,7789730,2001-2002
Jahidi White,7789730,2001-2002
Brad Miller,7766123,2001-2002
Adonal Foyle,7766123,2001-2002
Sam Cassell,7677872,2001-2002
Scot Pollard,7667612,2001-2002
Voshon Lenard,7505667,2001-2002
Mike Bibby,7368803,2001-2002
Darrell Armstrong,7068937,2001-2002
Corliss Williamson,7060112,2001-2002
Aaron McKie,7060112,2001-2002
Elton Brand,6852474,2001-2002
Derek Strong,6814773,2001-2002
Mark Jackson,6813008,2001-2002
Rex Chapman,6795358,2001-2002
Michael Stewart,6777707,2001-2002
Kenyon Martin,6710566,2001-2002
Rick Fox,6691662,2001-2002
Raef LaFrentz,6627931,2001-2002
Lamond Murray,6618855,2001-2002
Eric Snow,6618855,2001-2002
Kwame Brown,6526085,2001-2002
Brent Price,6495303,2001-2002
Ervin Johnson,6479292,2001-2002
Tony Battie,6354101,2001-2002
Moochie Norris,6354101,2001-2002
Travis Knight,6354101,2001-2002
Jud Buechler,6354101,2001-2002
Zeljko Rebraca,6177598,2001-2002
Steve Francis,6130860,2001-2002
Lindsey Hunter,6046562,2001-2002
Stromile Swift,6003990,2001-2002
Tracy Murray,6001095,2001-2002
Antawn Jamison,5980225,2001-2002
Travis Best,5956969,2001-2002
Tim Hardaway,5931182,2001-2002
Tyson Chandler,5838995,2001-2002
Chucky Atkins,5824592,2001-2002
Tyrone Nesby,5753991,2001-2002
Marc Jackson,5736341,2001-2002
Anthony Carter,5736341,2001-2002
David Wesley,5718691,2001-2002
Dean Garrett,5718691,2001-2002
Jon Barry,5603964,2001-2002
Walter McCarty,5515712,2001-2002
Baron Davis,5505828,2001-2002
Vince Carter,5423987,2001-2002
Darius Miles,5391878,2001-2002
Evan Eschmeyer,5362155,2001-2002
Lawrence Funderburke,5339209,2001-2002
Jaren Jackson Jr,5331856,2001-2002
Greg Anthony,5295084,2001-2002
Cedric Henderson,5295084,2001-2002
Kevin Willis,5295084,2001-2002
Eric Piatkowski,5295084,2001-2002
Derek Fisher,5295084,2001-2002
LaPhonso Ellis,5295084,2001-2002
Antonio Daniels,5295084,2001-2002
Anthony Peeler,5257136,2001-2002
Pau Gasol,5243616,2001-2002
Andrew DeClercq,5118581,2001-2002
Lamar Odom,4963823,2001-2002
Robert Traylor,4930614,2001-2002
Marcus Fizer,4861099,2001-2002
Chris Whitney,4765575,2001-2002
Eddy Curry,4727451,2001-2002
Johnny Newman,4721450,2001-2002
John Wallace,4642023,2001-2002
Jason Williams,4508008,2001-2002
Jonathan Bender,4495102,2001-2002
Matt Maloney,4489790,2001-2002
Mikki Moore,4467727,2001-2002
Chris Gatling,4420030,2001-2002
Chris Crawford,4412570,2001-2002
Mike Miller,4402121,2001-2002
Eric Montross,4377269,2001-2002
Randy Brown,4368444,2001-2002
Aaron Williams,4368444,2001-2002
Chauncey Billups,4368444,2001-2002
Othella Harrington,4368444,2001-2002
Tony Delk,4368444,2001-2002
Bobby Jackson,4368444,2001-2002
John Starks,4368444,2001-2002
Jason Richardson,4280969,2001-2002
Horace Grant,4270626,2001-2002
Hubert Davis,4269161,2001-2002
Steve Kerr,4247098,2001-2002
Jamie Feick,4236067,2001-2002
Lucious Harris,4236067,2001-2002
George Lynch,4236067,2001-2002
Stacey Augmon,4236067,2001-2002
Calbert Cheaney,4236067,2001-2002
George McCloud,4236067,2001-2002
Michael Curry,4236067,2001-2002
Sean Rooks,4236067,2001-2002
Grant Long,4236067,2001-2002
Rodney Rogers,4236067,2001-2002
Terry Porter,4236067,2001-2002
Michael Smith,4236067,2001-2002
Larry Hughes,4136581,2001-2002
Wally Szczerbiak,4082933,2001-2002
Malik Rose,4033089,2001-2002
Vinny Del Negro,4015438,2001-2002
DerMarr Johnson,3998212,2001-2002
Shane Battier,3888498,2001-2002
Bimbo Coles,3883061,2001-2002
John Amaechi,3838936,2001-2002
Dirk Nowitzki,3808215,2001-2002
Patrick Ewing,3739070,2001-2002
Richard Hamilton,3727103,2001-2002
Dell Curry,3706558,2001-2002
Chris Mihm,3650007,2001-2002
Paul Pierce,3620550,2001-2002
Bonzi Wells,3579898,2001-2002
Eddie Griffin,3549612,2001-2002
Michael Doleac,3531567,2001-2002
Bryant Stith,3530056,2001-2002
Cory Alexander,3522538,2001-2002
Keon Clark,3479158,2001-2002
Michael Dickerson,3425393,2001-2002
Andre Miller,3414482,2001-2002
Matt Harpring,3368381,2001-2002
Jamal Crawford,3343951,2001-2002
Lorenzo Williams,3318252,2001-2002
DeSagana Diop,3252028,2001-2002
Tom Hammonds,3177050,2001-2002
Shawn Marion,3138502,2001-2002
Greg Foster,3113945,2001-2002
Darvin Ham,3106449,2001-2002
Shammond Williams,3088799,2001-2002
Joel Przybilla,3073690,2001-2002
Radoslav Nesterovic,3046064,2001-2002
Tyronn Lue,3000547,2001-2002
Rodney White,2989180,2001-2002
Jason Terry,2981767,2001-2002
Keyon Dooling,2919921,2001-2002
Tony Massenburg,2912296,2001-2002
Corie Blount,2840344,2001-2002
Joe Johnson,2839647,2001-2002
Trajan Langdon,2832658,2001-2002
Fred Hoiberg,2824044,2001-2002
Dana Barros,2824044,2001-2002
Jerome Moiso,2773988,2001-2002
Pat Garrity,2770548,2001-2002
Kendall Gill,2714613,2001-2002
Kedrick Brown,2697739,2001-2002
Aleksandar Radojevic,2690961,2001-2002
Muggsy Bogues,2684360,2001-2002
Roshown McLeod,2663429,2001-2002
Danny Manning,2647542,2001-2002
Popeye Jones,2647542,2001-2002
Ricky Davis,2641188,2001-2002
Etan Thomas,2635257,2001-2002
Brian Skinner,2618350,2001-2002
Vladimir Radmanovic,2562820,2001-2002
Corey Maggette,2556466,2001-2002
Al Harrington,2536313,2001-2002
Courtney Alexander,2503515,2001-2002
Samaki Walker,2471039,2001-2002
Richard Jefferson,2434679,2001-2002
William Avery,2428537,2001-2002
Mateen Cleaves,2378340,2001-2002
Will Perdue,2329837,2001-2002
Troy Murphy,2312892,2001-2002
Bryce Drew,2294536,2001-2002
Matt Bullard,2294536,2001-2002
Eldridge Recasner,2294536,2001-2002
Jason Collier,2259306,2001-2002
Steven Hunter,2197248,2001-2002
